"Source","SourceLabels","Relation","Target","TargetLabels"
"小儿遗传性慢性进行性肾炎","Disease","complication","食管","Complication"
"食管","Complication","complication","小儿遗传性慢性进行性肾炎","Disease"
"急性化脓性甲状腺炎","Disease","complication","食管","Complication"
"食管","Complication","complication","急性化脓性甲状腺炎","Disease"
"硬皮病食管","Disease","complication","硬皮病","Disease"
"硬皮病","Disease","complication","硬皮病食管","Disease"
"硬皮病食管","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","硬皮病食管","Disease"
"硬皮病食管","Disease","complication","食管","Complication"
"食管","Complication","complication","硬皮病食管","Disease"
"小儿遗传性大疱性表皮松解症","Disease","complication","食管","Complication"
"食管","Complication","complication","小儿遗传性大疱性表皮松解症","Disease"
"GSDⅣ型","Disease","complication","食管","Complication"
"食管","Complication","complication","GSDⅣ型","Disease"
"输尿管异位开口","Disease","complication","气管食管瘘","Disease"
"气管食管瘘","Disease","complication","输尿管异位开口","Disease"
"输尿管异位开口","Disease","complication","食管","Complication"
"食管","Complication","complication","输尿管异位开口","Disease"
"婴幼儿胃食管反流","Disease","complication","贫血","Disease"
"贫血","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","反流食管炎","Disease"
"反流食管炎","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","水肿","Disease"
"水肿","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","食管","Complication"
"食管","Complication","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","出血","Disease"
"出血","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","吞咽困难","Symptom"
"吞咽困难","Symptom","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","溃疡","Disease"
"溃疡","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","免疫缺陷病","Disease"
"免疫缺陷病","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","呕吐","Disease"
"呕吐","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","糜烂","Complication"
"糜烂","Complication","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","充血","Symptom"
"充血","Symptom","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","瘢痕","Disease"
"瘢痕","Disease","complication","婴幼儿胃食管反流","Disease"
"婴幼儿胃食管反流","Disease","complication","反流","Complication"
"反流","Complication","complication","婴幼儿胃食管反流","Disease"
"小儿食管化学性烧伤","Disease","complication","食管","Complication"
"食管","Complication","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","胃穿孔","Disease"
"胃穿孔","Disease","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","出血","Disease"
"出血","Disease","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","水肿","Disease"
"水肿","Disease","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","喉水肿","Complication"
"喉水肿","Complication","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","酸烧伤","Disease"
"酸烧伤","Disease","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","腹膜炎","Disease"
"腹膜炎","Disease","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","纵隔炎","Disease"
"纵隔炎","Disease","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","休克","Disease"
"休克","Disease","complication","小儿食管化学性烧伤","Disease"
"小儿食管化学性烧伤","Disease","complication","碱烧伤","Disease"
"碱烧伤","Disease","complication","小儿食管化学性烧伤","Disease"
"膈上食管憩室","Disease","complication","贲门失弛缓症","Disease"
"贲门失弛缓症","Disease","complication","膈上食管憩室","Disease"
"膈上食管憩室","Disease","complication","食管","Complication"
"食管","Complication","complication","膈上食管憩室","Disease"
"膈上食管憩室","Disease","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","膈上食管憩室","Disease"
"膈上食管憩室","Disease","complication","痉挛","Complication"
"痉挛","Complication","complication","膈上食管憩室","Disease"
"膈上食管憩室","Disease","complication","憩室病","Disease"
"憩室病","Disease","complication","膈上食管憩室","Disease"
"膈上食管憩室","Disease","complication","食管憩室","Disease"
"食管憩室","Disease","complication","膈上食管憩室","Disease"
"膈上食管憩室","Disease","complication","食管裂孔疝","Disease"
"食管裂孔疝","Disease","complication","膈上食管憩室","Disease"
"食管囊肿","Disease","complication","半椎体畸形","Disease"
"半椎体畸形","Disease","complication","食管囊肿","Disease"
"食管囊肿","Disease","complication","食管重复畸形","Disease"
"食管重复畸形","Disease","complication","食管囊肿","Disease"
"食管囊肿","Disease","complication","食管","Complication"
"食管","Complication","complication","食管囊肿","Disease"
"血吸虫病与肝胆疾病","Disease","complication","食管","Complication"
"食管","Complication","complication","血吸虫病与肝胆疾病","Disease"
"胃酸过多","Disease","complication","反流食管炎","Disease"
"反流食管炎","Disease","complication","胃酸过多","Disease"
"胃酸过多","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","胃酸过多","Disease"
"弥漫性食管痉挛","Disease","complication","心动过缓","Symptom"
"心动过缓","Symptom","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","心绞痛","Disease"
"心绞痛","Disease","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","胸痛","Disease"
"胸痛","Disease","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","反流","Complication"
"反流","Complication","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","吸入性肺炎","Disease"
"吸入性肺炎","Disease","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","窦性心动过缓","Disease"
"窦性心动过缓","Disease","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","食管","Complication"
"食管","Complication","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","运动失调","Complication"
"运动失调","Complication","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","唾液","Complication"
"唾液","Complication","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","心律失常","Disease"
"心律失常","Disease","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","晕厥","Disease"
"晕厥","Disease","complication","弥漫性食管痉挛","Disease"
"弥漫性食管痉挛","Disease","complication","肺炎","Disease"
"肺炎","Disease","complication","弥漫性食管痉挛","Disease"
"食管结核","Disease","complication","感染","Disease"
"感染","Disease","complication","食管结核","Disease"
"食管结核","Disease","complication","食管","Complication"
"食管","Complication","complication","食管结核","Disease"
"食管结核","Disease","complication","发热","Disease"
"发热","Disease","complication","食管结核","Disease"
"食管结核","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","食管结核","Disease"
"食管结核","Disease","complication","气管","Complication"
"气管","Complication","complication","食管结核","Disease"
"食管结核","Disease","complication","麻痹","Symptom"
"麻痹","Symptom","complication","食管结核","Disease"
"食管受压性吞咽困难","Disease","complication","窒息","Disease"
"窒息","Disease","complication","食管受压性吞咽困难","Disease"
"食管受压性吞咽困难","Disease","complication","肺炎","Disease"
"肺炎","Disease","complication","食管受压性吞咽困难","Disease"
"食管受压性吞咽困难","Disease","complication","感染","Disease"
"感染","Disease","complication","食管受压性吞咽困难","Disease"
"Barrett食管","Disease","complication","吸入性肺炎","Disease"
"吸入性肺炎","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","溃疡","Disease"
"溃疡","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","便血","Symptom"
"便血","Symptom","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","免疫缺陷病","Disease"
"免疫缺陷病","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","胃肠道出血","Symptom"
"胃肠道出血","Symptom","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","食管","Complication"
"食管","Complication","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","疼痛","Disease"
"疼痛","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","反流","Complication"
"反流","Complication","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","消化性溃疡","Disease"
"消化性溃疡","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","肿瘤","Disease"
"肿瘤","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","呕血","Symptom"
"呕血","Symptom","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","反流食管炎","Disease"
"反流食管炎","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","贫血","Disease"
"贫血","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","肺炎","Disease"
"肺炎","Disease","complication","Barrett食管","Disease"
"Barrett食管","Disease","complication","出血","Disease"
"出血","Disease","complication","Barrett食管","Disease"
"小儿动力性肠梗阻","Disease","complication","食管","Complication"
"食管","Complication","complication","小儿动力性肠梗阻","Disease"
"异物性食管穿孔","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","炎症","Complication"
"炎症","Complication","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","坏死","Complication"
"坏死","Complication","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","感染","Disease"
"感染","Disease","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","咳嗽","Symptom"
"咳嗽","Symptom","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","食管内异物","Disease"
"食管内异物","Disease","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","肿块","Complication"
"肿块","Complication","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","咽后壁脓肿","Disease"
"咽后壁脓肿","Disease","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","纵隔气肿","Disease"
"纵隔气肿","Disease","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","肺脓肿","Disease"
"肺脓肿","Disease","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","脓胸","Disease"
"脓胸","Disease","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","呕血","Symptom"
"呕血","Symptom","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","出血","Disease"
"出血","Disease","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","血压下降","Complication"
"血压下降","Complication","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","肺不张","Disease"
"肺不张","Disease","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","食管","Complication"
"食管","Complication","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","呕吐","Disease"
"呕吐","Disease","complication","异物性食管穿孔","Disease"
"异物性食管穿孔","Disease","complication","血管损伤","Disease"
"血管损伤","Disease","complication","异物性食管穿孔","Disease"
"天疱疮","Disease","complication","食管","Complication"
"食管","Complication","complication","天疱疮","Disease"
"乳糜泻","Disease","complication","食管癌","Disease"
"食管癌","Disease","complication","乳糜泻","Disease"
"胰腺癌","Disease","complication","食管","Complication"
"食管","Complication","complication","胰腺癌","Disease"
"小儿硬皮病","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","小儿硬皮病","Disease"
"食管管型","Disease","complication","感染","Disease"
"感染","Disease","complication","食管管型","Disease"
"食管血管瘤","Disease","complication","血管瘤","Disease"
"血管瘤","Disease","complication","食管血管瘤","Disease"
"食管血管瘤","Disease","complication","食管","Complication"
"食管","Complication","complication","食管血管瘤","Disease"
"食管血管瘤","Disease","complication","出血","Disease"
"出血","Disease","complication","食管血管瘤","Disease"
"食管血管瘤","Disease","complication","可并发食管血管瘤破裂出血","Complication"
"可并发食管血管瘤破裂出血","Complication","complication","食管血管瘤","Disease"
"老年人原发性肝癌","Disease","complication","食管","Complication"
"食管","Complication","complication","老年人原发性肝癌","Disease"
"食管穿孔","Disease","complication","食管","Complication"
"食管","Complication","complication","食管穿孔","Disease"
"食管穿孔","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","食管穿孔","Disease"
"食管穿孔","Disease","complication","气胸","Disease"
"气胸","Disease","complication","食管穿孔","Disease"
"食管穿孔","Disease","complication","休克","Disease"
"休克","Disease","complication","食管穿孔","Disease"
"食管穿孔","Disease","complication","发绀","Complication"
"发绀","Complication","complication","食管穿孔","Disease"
"食管穿孔","Disease","complication","呼吸困难","Symptom"
"呼吸困难","Symptom","complication","食管穿孔","Disease"
"食管癌","Disease","complication","肿瘤","Disease"
"肿瘤","Disease","complication","食管癌","Disease"
"食管癌","Disease","complication","肌炎","Complication"
"肌炎","Complication","complication","食管癌","Disease"
"食管癌","Disease","complication","肌无力","Disease"
"肌无力","Disease","complication","食管癌","Disease"
"食管癌","Disease","complication","呕血","Symptom"
"呕血","Symptom","complication","食管癌","Disease"
"食管癌","Disease","complication","食管主动脉瘘","Complication"
"食管主动脉瘘","Complication","complication","食管癌","Disease"
"食管癌","Disease","complication","食管","Complication"
"食管","Complication","complication","食管癌","Disease"
"食管癌","Disease","complication","低钾血症","Disease"
"低钾血症","Disease","complication","食管癌","Disease"
"食管癌","Disease","complication","Marie—Bamberger综合征","Disease"
"Marie—Bamberger综合征","Disease","complication","食管癌","Disease"
"食管癌","Disease","complication","骨性关节炎","Disease"
"骨性关节炎","Disease","complication","食管癌","Disease"
"食管癌","Disease","complication","皮肌炎","Disease"
"皮肌炎","Disease","complication","食管癌","Disease"
"食管癌","Disease","complication","气管食管瘘","Disease"
"气管食管瘘","Disease","complication","食管癌","Disease"
"食管癌","Disease","complication","癌病","Complication"
"癌病","Complication","complication","食管癌","Disease"
"食管癌","Disease","complication","术后食管反流","Complication"
"术后食管反流","Complication","complication","食管癌","Disease"
"食管癌","Disease","complication","鳞状细胞癌","Disease"
"鳞状细胞癌","Disease","complication","食管癌","Disease"
